complex_id,stop_name,georeference,borough,num_art_pieces
348,"Rockaway Av","POINT (-73.908946 40.662549)",Bk,1
192,"Rockaway Blvd","POINT (-73.843853 40.680429)",Q,1
222,"Roosevelt Island","POINT (-73.95326 40.759145)",M,1
347,"Saratoga Av","POINT (-73.916327 40.661453)",Bk,1
111,"Seneca Av","POINT (-73.90774 40.702762)",Q,1
54,"Sheepshead Bay","POINT (-73.954155 40.586896)",Bk,1
367,"St Lawrence Av","POINT (-73.867618 40.831509)",Bx,1
134,"Sutter Av","POINT (-73.901975 40.669367)",Bk,1
346,"Sutter Av-Rutland Rd","POINT (-73.92261 40.664717)",Bk,1
215,"Tremont Av","POINT (-73.905227 40.85041)",Bx,1
28,"Union St","POINT (-73.98311 40.677316)",Bk,1
181,"Utica Av","POINT (-73.930729 40.679364)",Bk,1
90,"Van Siclen Av","POINT (-73.891688 40.678024)",Bk,1
351,"Van Siclen Av","POINT (-73.889395 40.665449)",Bk,1
328,"WTC Cortlandt","POINT (-74.012188 40.711835)",M,1
416,"Wakefield-241 St","POINT (-73.85062 40.903125)",Bx,1
333,"Wall St","POINT (-74.0091 40.706821)",M,1
427,"West Farms Sq-E Tremont Av","POINT (-73.880049 40.840295)",Bx,1
363,"Westchester Sq-E Tremont Av","POINT (-73.842952 40.839892)",Bx,1
635,"Whitehall St-South Ferry","POINT (-74.012994 40.703087)",M,1
370,"Whitlock Av","POINT (-73.886283 40.826525)",Bx,1
264,"Woodhaven Blvd","POINT (-73.869229 40.733106)",Q,1
83,"Woodhaven Blvd","POINT (-73.851576 40.693879)",Q,1
364,"Zerega Av","POINT (-73.847036 40.836488)",Bx,1
309,"103 St","POINT (-73.968379 40.799446)",M,0
156,"103 St","POINT (-73.961454 40.796092)",M,0
450,"103 St-Corona Plaza","POINT (-73.8627 40.749865)",Q,0
449,"111 St","POINT (-73.855334 40.75173)",Q,0
154,"116 St","POINT (-73.954882 40.805085)",M,0
80,"121 St","POINT (-73.828294 40.700492)",Q,0
153,"125 St","POINT (-73.952343 40.811109)",M,0
152,"135 St","POINT (-73.947649 40.817894)",M,0
391,"138 St-Grand Concourse","POINT (-73.929849 40.813224)",Bx,0
151,"145 St","POINT (-73.944216 40.824783)",M,0
304,"145 St","POINT (-73.95036 40.826551)",M,0
603,"149 St-Grand Concourse","POINT (-73.927351 40.818375)",Bx,0
241,"15 St-Prospect Park","POINT (-73.979493 40.660365)",Bk,0
150,"155 St","POINT (-73.941514 40.830518)",M,0
220,"155 St","POINT (-73.938209 40.830135)",M,0
303,"157 St","POINT (-73.94489 40.834041)",M,0
218,"167 St","POINT (-73.91844 40.833771)",Bx,0
605,"168 St","POINT (-73.939561 40.840719)",M,0
255,"169 St","POINT (-73.793604 40.71047)",Q,0
217,"170 St","POINT (-73.9134 40.839306)",Bx,0
216,"174-175 Sts","POINT (-73.910136 40.8459)",Bx,0
147,"175 St","POINT (-73.939704 40.847391)",M,0
321,"18 St","POINT (-73.997871 40.74104)",M,0
146,"181 St","POINT (-73.937969 40.851695)",M,0
214,"182-183 Sts","POINT (-73.900741 40.856093)",Bx,0
145,"190 St","POINT (-73.93418 40.859022)",M,0
