complex_id,station_complex,borough,complex_latitude,complex_longitude,ridership,num_art_pieces
138,"Canarsie-Rockaway Pkwy (L)",Brooklyn,40.646654,-73.90185,408160,0
386,"Mt Eden Av (4)",Bronx,40.844434,-73.914685,673428,1
307,"116 St-Columbia University (1)",Manhattan,40.807722,-73.96411,2301817,1
442,"Eastchester-Dyre Av (5)",Bronx,40.8883,-73.830834,541078,0
145,"190 St (A)",Manhattan,40.859022,-73.93418,721287,0
87,"Crescent St (J,Z)",Brooklyn,40.683194,-73.873785,505783,1
30,"Prospect Av (R)",Brooklyn,40.665414,-73.992872,954326,1
321,"18 St (1)",Manhattan,40.74104,-73.997871,1271090,0
384,"Burnside Av (4)",Bronx,40.853453,-73.907684,1396941,1
88,"Norwood Av (J,Z)",Brooklyn,40.68141,-73.880039,334316,0
50,"Avenue M (Q)",Brooklyn,40.617618,-73.959399,844198,1
254,"Jamaica-179 St (F)",Queens,40.712646,-73.783817,2971150,0
422,"Burke Av (2,5)",Bronx,40.871356,-73.867164,357677,1
296,"Marble Hill-225 St (1)",Manhattan,40.874561,-73.909831,714800,0
126,"Jefferson St (L)",Brooklyn,40.706607,-73.922913,1600934,0
192,"Rockaway Blvd (A)",Queens,40.680429,-73.843853,1117151,1
224,"57 St (F)",Manhattan,40.763972,-73.97745,1855547,1
351,"Van Siclen Av (3)",Brooklyn,40.665449,-73.889395,347776,1
502,"Tompkinsville (SIR)","Staten Island",40.636949,-74.074835,99841,0
39,"Bay Ridge-95 St (R)",Brooklyn,40.616622,-74.030876,896295,0
449,"111 St (7)",Queens,40.75173,-73.855334,1402618,0
334,"Clark St (2,3)",Brooklyn,40.697466,-73.993086,1274538,1
194,"111 St (A)",Queens,40.684331,-73.832163,340998,1
436,"Harlem-148 St (3)",Manhattan,40.82388,-73.93647,481726,0
53,"Neck Rd (Q)",Brooklyn,40.595246,-73.955161,711100,1
149,"163 St-Amsterdam Av (C)",Manhattan,40.836013,-73.939892,646923,1
347,"Saratoga Av (3)",Brooklyn,40.661453,-73.916327,661628,1
431,"Intervale Av (2,5)",Bronx,40.822181,-73.896736,366889,1
392,"125 St (4,5,6)",Manhattan,40.804138,-73.937594,3908622,2
461,"Queensboro Plaza (7,N,W)",Queens,40.750582,-73.940202,2276255,1
326,"Franklin St (1)",Manhattan,40.719318,-74.006886,1002359,0
391,"138 St-Grand Concourse (4,5)",Bronx,40.813224,-73.929849,560542,0
439,"125 St (2,3)",Manhattan,40.807754,-73.945495,2092377,1
74,"18 Av (N)",Brooklyn,40.620671,-73.990414,821265,1
123,"Grand St (L)",Brooklyn,40.711926,-73.94067,1124669,1
356,"Church Av (2,5)",Brooklyn,40.650843,-73.949575,1345016,1
304,"145 St (1)",Manhattan,40.826551,-73.95036,1476709,0
186,"Van Siclen Av (C)",Brooklyn,40.67271,-73.890358,395440,0
